FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH,V_Polygon 80.1,,10557,Lehrter Straße 30,4,12,12,0,3,3,GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH - V_Polygon 80.1 - Lehrter Straße 27-38 - verloren,V_Polygon 80.1,Mitte,Moabit
GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH,V_Polygon 80.1,,10557,Lehrter Straße 27,24,13,13,2,2,2,GSE Gesellschaft für StadtEntwicklung gemeinnützige GmbH - V_Polygon 80.1 - Lehrter Straße 27-38 - verloren,V_Polygon 80.1,Mitte,Moabit
Günter und Sylvia Schütrumpf,V_Polygon 80.1-2 (Ausdehnung),,10559,Rathenower Straße 60,11,16,,2,,,Günter und Sylvia Schütrumpf - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Gutman Investment GmbH,Cluster 83,ABZ III,10627,Bismarckstraße 47,1,,,0,,,Gutman Investment GmbH - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Gutman Investment GmbH,Cluster 83,ABZ III,10627,Bismarckstraße 46,11,,,0,,,Gutman Investment GmbH - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Gutman Investment GmbH,Cluster 83,ABZ III,10627,Bismarckstraße 45,11,,,10,,,Gutman Investment GmbH - Cluster 83.123 - (N1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
GWD Gesellschaft für wohnungswirtschaftliche Dienstleistungen mbH,V_Polygon 76.1,,10119,Zionskirchstraße 28,18,18,,1,,1,GWD Gesellschaft für wohnungswirtschaftliche Dienstleistungen mbH - V_Polygon 76.1 - 18  (A1)- verloren,V_Polygon 76.1,Mitte,Mitte
H & G Grundstücksverwaltungsgesellschaft,V_Polygon 80.1-2 (Ausdehnung),,10557,Paulstraße 24,10,24,24,1,0,1,H & G Grundstücksverwaltungsgesellschaft - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
H & G Grundstücksverwaltungsgesellschaft,V_Polygon 80.1-2 (Ausdehnung),,10557,Paulstraße 22,21,20,,2,,,H & G Grundstücksverwaltungsgesellschaft - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
H2A Immobilienmanagement GmbH,V_Polygon 80.1-2 (Ausdehnung),,10553,Beusselstraße 27,5,48,43,9,0,,H2A Immobilienmanagement GmbH - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
habitamus Immobilien GmbH,V_Polygon 32.1,,10247,Jungstraße 5,5,10,10,3,5,,habitamus Immobilien GmbH - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
habitamus Immobilien GmbH,V_Polygon 32.1,,10247,Jungstraße 4,5,10,10,4,4,,habitamus Immobilien GmbH - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
Habitar-Concept Barembruch-Grimm & Co. GmbH,Polygon 6.0,,14057,Witzlebenstraße 40,15,14,13,3,0,,Habitar-Concept Barembruch-Grimm & Co. GmbH - V_Polygon 6.1 - 13 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Hamkon GmbH Hausverwaltungen & Immobilien,V_Polygon 32.2,,10247,Schreinerstraße 27,22,24,,0,,,HAMKON GMBH - V_POLYGON 32.2 - 24 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Handschuck Hausverwaltung,Polygon 1.1,ABZ IV,10777,Motzstraße 62,11,14,14,1,0,0,Handschuck Hausverwaltung - Cluster 01 - 14 - verloren,Polygon 1.1,Tempelhof-Schöneberg,Schöneberg
Hannelore Kneffel,V_Polygon 22.8,ABZ IV,14199,Forckenbeckstraße 96,5,10,3,0,,,Hannelore Kneffel - Cluster 22 - verloren,V_Polygon 22.8,Charlottenburg-Wilmersdorf,Schmargendorf
Hannelore Kneffel,Polygon 1.1,ABZ IV,10789,Lietzenburger Straße 27,16,20,19,1,,,Hannelore Kneffel - Cluster 01 - verloren,Polygon 1.1,Charlottenburg-Wilmersdorf,Wilmersdorf
Hanseatische Berlin-Kontor Verwaltungsgesellschaft mbH,Cluster 83,ABZ IV,10585,Spielhagenstraße 8,2,14,,1,,0,Hanseatische Berlin-Kontor Verwaltungsgesellschaft mbH - Cluster 83 - 14 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
Hans-Joachim Lehmann Hausverwaltung,Cluster 03,ABZ III,10719,Düsseldorfer Straße 76,19,15,,11,,3,Hans-Joachim Lehmann Hausverwaltung - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Harald Jung Haus- und Grundstücksverwaltung,V_Polygon 32.2,,10247,Rigaer Straße 70,22,28,,1,,2,Harald Jung Haus- und Grundstücksverwaltung - V_Polygon 32.2 - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
Hardo Doege Hausverwaltung GmbH,V_Polygon 80.1-2 (Ausdehnung),,10551,Emdener Straße 30,3,34,34,0,0,0,Hardo Doege Hausverwaltung GmbH - V_Polygon 80.2 - 34 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hardo Doege Hausverwaltung GmbH,Cluster 64,,12161,Büsingstraße 3,14,30,30,2,0,0,Hardo Doege Hausverwaltung GmbH - Cluster 64 - 30 (A1) - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
Hartmut und Margot Marocke Eigentümer,V_Polygon 139.3,,12053,Biebricher Straße 11,23,23,,0,,1,Hartmut und Margot Marocke Eigentümer - V_Polygon 139.4 - verloren - TKG,V_Polygon 139.3,Neukölln,Neukölln
Hauf Grundbesitz GmbH,V_Polygon 22.4,ABZ IV,12159,Hedwigstraße 7A,4,4,,0,,,Hauf Grundbesitz GmbH - Cluster 64 - 16 (M1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
Hauf Grundbesitz GmbH,V_Polygon 22.4,ABZ IV,12159,Wielandstraße 31,5,12,,0,,,Hauf Grundbesitz GmbH - Cluster 64 - 16 (M1) - verloren,V_Polygon 22.4,Tempelhof-Schöneberg,Schöneberg
Hauf Grundbesitz GmbH,Polygon 6.0,,10585,Fritschestraße 79,17,,46,1,0,,Hauf Grundbesitz GmbH - V_Polygon 6.3 - 46 (A1) - verloren,Polygon 6.0,Charlottenburg-Wilmersdorf,Charlottenburg
Hauf Grundbesitz GmbH,Cluster 22,,12161,Stubenrauchstraße 31,8,12,9,1,0,,Hauf Grundbesitz GmbH - Cluster 22 - 15 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hauf Grundbesitz GmbH,Cluster 22,,12159,Albestraße 30,4,6,,0,,1,Hauf Grundbesitz GmbH - Cluster 22 - 15 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hauseigentümer Beate und Petra Flierl,V_Polygon 76.1,,10119,Fehrbelliner Straße 32,24,24,,0,,,Hauseigentümer Beate und Petra Flierl - V_Polygon 76.1 - 24 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausgut Verwaltungsgesellschaft mbH,V_Polygon 91.2,,13353,Sprengelstraße 14,19,48,46,0,2,1,Hausgut Verwaltungsgesellschaft mbH - V_Polygon 91.2 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Hausgut Verwaltungsgesellschaft mbH,Cluster 21,,14193,Auguste-Viktoria-Straße 7,0,7,13,0,3,0,Hausgut Verwaltungsgesellschaft mbH - Cluster 21 - 13 (A1) - verloren,Cluster 21,Charlottenburg-Wilmersdorf,Schmargendorf
Hausgut Verwaltungsgesellschaft mbH,Cluster 03,ABZ V,10719,Kurfürstendamm 34,0,,0,1,2,,Hausgut Verwaltungsgesellschaft mbH - Cluster 03 - 2 (A1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Haus- und Grundbesitzer-Verein Wilmersdorf e.V.,Cluster 05,ABZ III,10717,Güntzelstraße 55,6,8,,2,,2,Haus- und Grundbesitzer-Verein Wilmersdorf e.V. - Cluster 05 (N1) (S1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Haus- und Wohnungsverwaltung “Spandauer Vorstadt”,V_Polygon 80.2,,10555,Jagowstraße 4,11,11,,1,,,Haus- und Wohnungsverwaltung “Spandauer Vorstadt” - V_Polygon 80.2 (A1) - 23 - verloren,V_Polygon 80.2,Mitte,Moabit
Haus- und Wohnungsverwaltung “Spandauer Vorstadt”,V_Polygon 80.2,,10555,Tile-Wardenberg-Straße 6,11,12,,1,,,Haus- und Wohnungsverwaltung “Spandauer Vorstadt” - V_Polygon 80.2 (A1) - 23 - verloren,V_Polygon 80.2,Mitte,Moabit
Haus- und Wohnungsverwaltung “Spandauer Vorstadt”,V_Polygon 80.1-2 (Ausdehnung),,10555,Wullenweberstraße 11,21,20,,3,,,Haus- und Wohnungsverwaltung “Spandauer Vorstadt” - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Haus- und Wohnungsverwaltung “Spandauer Vorstadt”,V_Polygon 139.1-5 (Ausdehnung),,12055,Schwarzastraße 8,26,13,13,0,0,,Haus- und Wohnungsverwaltung “Spandauer Vorstadt” - V_Polygon 139.3 - WEG - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Haus- und Wohnungsverwaltung “Spandauer Vorstadt”,V_Polygon 139.1-5 (Ausdehnung),,12055,Schwarzastraße 7,18,12,12,1,0,,Haus- und Wohnungsverwaltung “Spandauer Vorstadt” - V_Polygon 139.3 - WEG - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Hausverwaltung Akbar,V_Polygon 80.2,,10555,Zwinglistraße 10,21,32,,1,,,Hausverwaltung Akbar - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Hausverwaltung Akbar,V_Polygon 80.2,,10551,Siemensstraße 7,50,52,,2,,,Hausverwaltung Akbar - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Hausverwaltung Akbar,V_Polygon 80.1-2 (Ausdehnung),,10551,Stromstraße 55,15,10,,0,,,Hausverwaltung Akbar - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Akbar,V_Polygon 80.1-2 (Ausdehnung),,10551,Bugenhagenstraße 1,9,7,,0,,,Hausverwaltung Akbar - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Akbar,V_Polygon 80.1-2 (Ausdehnung),,10553,Beusselstraße 22,31,27,,1,,,Hausverwaltung Akbar - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.2,,10555,Elberfelder Straße 32,18,18,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.2,,10555,Zinzendorfstraße 3,24,39,,0,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10559,Bandelstraße 4,18,19,,0,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1 (A1) - 19 - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10559,Pritzwalker Straße 4,10,12,,0,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10557,Kirchstraße 24,24,30,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10559,Wilsnacker Straße 20,11,10,,0,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10559,Rathenower Straße 68,10,10,,0,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10555,Essener Straße 10,13,18,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1-2 (Ausdehnung),,10555,Alt-Moabit 78,11,18,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1-2 (Ausdehnung) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1,,10559,Wilsnacker Straße 12,10,10,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1,,10557,Spenerstraße 12,15,16,,1,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 80.1,,10557,Thomasiusstraße 16,13,12,,2,,,Hausverwaltung Christiane Rehfeld - V_Polygon 80.1 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
Hausverwaltung Christiane Rehfeld,V_Polygon 6.1-3 (Ausdehnung),,10627,Kaiser-Friedrich-Straße 50A,18,12,,2,,2,Hausverwaltung Christiane Rehfeld  - V_Polygon 6.1-3 (Ausdehnung) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltung Christiane Rehfeld,V_Polygon 2.5,ABZ IV,10823,Dominicusstraße 13,22,14,,1,,2,Hausverwaltung Christiane Rehfeld - V_Polygon 2.5 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Christiane Rehfeld,V_Polygon 139.4,,12049,Selchower Straße 31,28,28,,0,,6,Hausverwaltung Christiane Rehfeld  - V_Polygon 139.4 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
Hausverwaltung Christiane Rehfeld,Cluster 02,,10823,Dominicusstraße 21,17,15,,0,,,Hausverwaltung Christiane Rehfeld - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Christiane Rehfeld,Cluster 02,,10823,Grunewaldstraße 79,11,10,,2,,2,Hausverwaltung Christiane Rehfeld - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Christiane Rehfeld,Cluster 02,,10823,Grunewaldstraße 78,8,10,,3,,3,Hausverwaltung Christiane Rehfeld - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Christiane Rehfeld,Cluster 02,,10823,Grunewaldstraße 80,21,24,,2,,2,Hausverwaltung Christiane Rehfeld - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 76.1,,10115,Anklamer Straße 17,19,24,19,1,0,1,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 76.1 - 63 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 76.1,,10435,Rheinsberger Straße 31A,32,33,32,1,0,,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 76.1 - 63 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 76.1,,10435,Rheinsberger Straße 31,12,12,12,0,0,,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 76.1 - 63 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 75.1 (Vorvermarktung abgebrochen),,10115,Linienstraße 145,28,34,28,5,0,5,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 75.1 - 28 (A1) - verloren,V_Polygon 75.1 (Vorvermarktung abgebrochen),Mitte,Mitte
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Käthe-Niederkirchner-Straße 9,19,,19,0,0,,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 70.2 - 19 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 139.3,,12043,Uthmannstraße 18,25,,23,2,0,,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 139.3 - 23 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Hausverwaltung Claudia Minkwitz GmbH,V_Polygon 139.1,,12059,Kiehlufer 11,24,32,32,0,0,,Hausverwaltung Claudia Minkwitz GmbH - V_Polygon 139.1 - 32 (A1) - verloren,V_Polygon 139.1,Neukölln,Neukölln
Hausverwaltung Deichsel,V_Polygon 139.3,,12045,Elbestraße 4,14,,12,0,0,,Hausverwaltung Deichsel - V_Polygon 139.2 - 36 (A1) - verloren,V_Polygon 139.3,Neukölln,Neukölln
Hausverwaltung Deichsel,V_Polygon 139.1-5 (Ausdehnung),,12045,Elbestraße 3,14,,12,0,0,,Hausverwaltung Deichsel - V_Polygon 139.2 - 36 (A1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Hausverwaltung Dipl.-Ing. Thorsten Baum,V_Polygon 91.2,,13353,Willdenowstraße 8A,9,16,9,0,0,,Hausverwaltung Dipl.-Ing. Thorsten Baum - V_Polygon 91.2 - 19 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Hausverwaltung Dipl.-Ing. Thorsten Baum,V_Polygon 91.2,,13353,Willdenowstraße 8,9,18,9,0,1,2,Hausverwaltung Dipl.-Ing. Thorsten Baum - V_Polygon 91.2 - 19 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Hausverwaltung E. Toviakou,V_Polygon 6.1-3 (Ausdehnung),,10627,Fritschestraße 57,16,20,20,1,1,,HAUSVERWALTUNG E. TOVIAKOU - V_POLYGON 6.1 - 20 - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltung Elke Achtel,Cluster 02,,10715,U-Bhf Berliner Straße 155,,,,,,1,Hausverwaltung Elke Achtel  - Cluster 02 (S1) - verloren,Cluster 02,Charlottenburg-Wilmersdorf,Wilmersdorf
Hausverwaltung Emuth,V_Polygon 76.1,,10115,Ruppiner Straße 46,12,12,12,0,0,,Hausverwaltung Emuth - V_Polygon 76.1 - 85 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,V_Polygon 76.1,,10435,Swinemünder Straße 10,10,10,10,1,1,,Hausverwaltung Emuth - V_Polygon 76.1 - 85 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,V_Polygon 76.1,,10435,Wolliner Straße 67,12,12,12,0,0,,Hausverwaltung Emuth - V_Polygon 76.1 - 85 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,V_Polygon 76.1,,10435,Granseer Straße 7,10,12,10,0,0,,Hausverwaltung Emuth - V_Polygon 76.1 - 85 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,V_Polygon 76.1,,10115,Anklamer Straße 22,18,18,18,2,2,2,Hausverwaltung Emuth - V_Polygon 76.1 - 85 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,V_Polygon 76.1,,10435,Griebenowstraße 20,22,,22,4,0,,Hausverwaltung Emuth - V_Polygon 76.1 (M1) - verloren,V_Polygon 76.1,Mitte,Mitte
Hausverwaltung Emuth,Cluster 03,ABZ III,10629,Niebuhrstraße 62,29,,31,4,0,,Hausverwaltung Emuth - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltungen Goerigk oHG,V_Polygon 91.2,,13353,Sparrstraße 27,18,30,29,3,1,1,Hausverwaltungen Goerigk oHG - V_Polygon 91.2 - 30 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
Hausverwaltungen Goerigk oHG,V_Polygon 24.1,,10785,Kluckstraße 33,17,,29,3,1,,Hausverwaltungen Goerigk oHG - V_Polygon 24.1 - 30 (A1) - verloren,V_Polygon 24.1,Mitte,Tiergarten
Hausverwaltung Francois Veigel,Cluster 22,,12161,Stubenrauchstraße 41A,3,8,9,1,0,,Hausverwaltung Veigel - Cluster 22 - 35 (M1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hausverwaltung Francois Veigel,Cluster 22,,12161,Stubenrauchstraße 41,10,8,9,0,0,,Hausverwaltung Veigel - Cluster 22 - 35 (M1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hausverwaltung Francois Veigel,Cluster 22,,12161,Varziner Straße 15,7,8,8,0,0,,Hausverwaltung Veigel - Cluster 22 - 35 (M1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hausverwaltung Fred Janke,Cluster 02,,10823,Akazienstraße 20,22,32,32,3,0,,Hausverwaltung Fred Janke - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Fritzsche IWF Gmbh,V_Polygon 22.8,ABZ IV,14197,Deidesheimer Straße 5,12,24,,2,,,Hausverwaltung Fritzsche IWF Gmbh - Cluster 22 - 24 (A1) - verloren,V_Polygon 22.8,Tempelhof-Schöneberg,Friedenau
Hausverwaltung Fritzsche IWF Gmbh,Cluster 03,ABZ V,10719,Fasanenstraße 36,20,,,2,,,Hausverwaltung Fritzsche IWF Gmbh - Cluster 03 (A1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Hausverwaltung Gaethke GmbH,V_Polygon 79.1,,10115,Wöhlertstraße 20,18,18,,3,,3,Hausverwaltung Gaethke GmbH - V_Polygon 79.1 - 21 (A1) - verloren,V_Polygon 79.1,Mitte,Mitte
Hausverwaltung Gaethke GmbH,Cluster 67,,13088,Mahlerstraße 37,14,17,17,0,0,0,Hausverwaltung Gaethke GmbH - Cluster 67 - 50 (A1) - verloren,Cluster 67,Pankow,Weißensee
Hausverwaltung Gaethke GmbH,Cluster 67,,13088,Mahlerstraße 39,16,17,17,0,0,0,Hausverwaltung Gaethke GmbH - Cluster 67 - 50 (A1) - verloren,Cluster 67,Pankow,Weißensee
Hausverwaltung Gaethke GmbH,Cluster 67,,13088,Puccinistraße 11,12,16,16,0,0,0,Hausverwaltung Gaethke GmbH - Cluster 67 - 50 (A1) - verloren,Cluster 67,Pankow,Weißensee
Hausverwaltung Gaethke GmbH,Cluster 67,,13088,Smetanastraße 55,2,,4,0,0,,Hausverwaltung Gaethke GmbH - Cluster 67 - WEG - verloren,Cluster 67,Pankow,Weißensee
Hausverwaltung Gelhausen,Cluster 22,,12159,Schnackenburgstraße 2,5,10,,0,,,Hausverwaltung Gelhausen - Cluster 22 - 10 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hausverwaltung Hiller GmbH,V_Polygon 2.4,ABZ III,10781,Eisenacher Straße 34,,20,20,,0,0,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,V_Polygon 2.4,ABZ IV,10781,Freisinger Straße 15,15,16,16,0,0,0,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,V_Polygon 2.4,ABZ IV,10781,Freisinger Straße 14,13,16,16,0,0,0,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,V_Polygon 2.4,ABZ IV,10781,Freisinger Straße 12,16,15,15,0,0,0,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,V_Polygon 2.4,ABZ IV,10781,Freisinger Straße 13,14,16,16,0,0,0,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,Cluster 03,ABZ III,10629,Sybelstraße 63,15,9,9,4,4,4,HAUSVERWALTUNG HILLER GMBH - 0003 - 27 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltung Hiller GmbH,Cluster 03,ABZ III,10629,Clausewitzstraße 1,16,9,9,5,5,5,HAUSVERWALTUNG HILLER GMBH - 0003 - 27 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
Hausverwaltung Hiller GmbH,Cluster 02,,10779,Landshuter Straße 19,10,10,10,3,3,3,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,Cluster 02,,10779,Landshuter Straße 18,15,19,19,2,2,2,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,Cluster 02,,10779,Bayerischer Platz 2,25,35,35,5,5,5,Hausverwaltung Hiller GmbH - Cluster 02 - 137 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hausverwaltung Hiller GmbH,Cluster 01,ABZ IV,10777,Regensburger Straße 13B,2,15,15,1,1,1,HAUSVERWALTUNG HILLER GMBH - 0001 - 76 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Hausverwaltung Hiller GmbH,Cluster 01,ABZ IV,10777,Regensburger Straße 13A,5,14,14,0,0,0,HAUSVERWALTUNG HILLER GMBH - 0001 - 76 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
Hausverwaltung Hiller GmbH,Cluster 01,ABZ IV,10777,Regensburger Straße 13,24,22,22,1,1,1,HAUSVERWALTUNG HILLER GMBH - 0001 - 76 - verloren,Cluster 01,Charlottenburg-Wilmersdorf,Wilmersdorf
